fault,interval,feature,variable,active_batches,batches
1,10-15h,diff,XMEAS-31,3,5
1,10-15h,diff,XMEAS-1,1,5
1,10-15h,residual,XMEAS-1,5,5
1,10-15h,residual,XMEAS-10,5,5
1,10-15h,residual,XMEAS-11,5,5
1,10-15h,residual,XMEAS-12,5,5
1,10-15h,residual,XMEAS-13,5,5
1,10-15h,residual,XMEAS-14,5,5
1,10-15h,residual,XMEAS-15,5,5
1,10-15h,residual,XMEAS-16,5,5
1,10-15h,residual,XMEAS-18,5,5
1,10-15h,residual,XMEAS-20,5,5
1,10-15h,residual,XMEAS-21,5,5
1,10-15h,residual,XMEAS-22,5,5
1,10-15h,residual,XMEAS-23,5,5
1,10-15h,residual,XMEAS-24,5,5
1,10-15h,residual,XMEAS-25,5,5
1,10-15h,residual,XMEAS-28,5,5
1,10-15h,residual,XMEAS-29,5,5
1,10-15h,residual,XMEAS-30,5,5
1,10-15h,residual,XMEAS-31,5,5
1,10-15h,residual,XMEAS-33,5,5
1,10-15h,residual,XMEAS-34,5,5
1,10-15h,residual,XMEAS-38,5,5
1,10-15h,residual,XMEAS-4,5,5
1,10-15h,residual,XMEAS-5,5,5
1,10-15h,residual,XMEAS-6,5,5
1,10-15h,residual,XMEAS-7,5,5
1,10-15h,residual,XMEAS-26,4,5
1,10-15h,residual,XMEAS-35,4,5
1,10-15h,residual,XMEAS-27,3,5
1,10-15h,residual,XMEAS-36,2,5
1,10-15h,residual,XMEAS-8,2,5
1,5-10h,trend,XMEAS-18,1,5
1,5-10h,trend,XMEAS-20,1,5
8,10-15h,level,XMEAS-1,5,5
8,10-15h,level,XMEAS-11,4,5
8,10-15h,level,XMEAS-18,4,5
8,10-15h,level,XMEAS-20,4,5
8,10-15h,level,XMEAS-22,3,5
8,10-15h,level,XMEAS-23,3,5
8,10-15h,level,XMEAS-25,3,5
8,10-15h,level,XMEAS-29,3,5
8,10-15h,level,XMEAS-31,3,5
8,10-15h,level,XMEAS-38,3,5
8,10-15h,level,XMEAS-4,3,5
8,10-15h,level,XMEAS-10,2,5
8,10-15h,level,XMEAS-21,2,5
8,10-15h,level,XMEAS-35,2,5
8,10-15h,level,XMEAS-5,2,5
8,10-15h,level,XMEAS-6,2,5
8,10-15h,level,XMEAS-13,1,5
8,10-15h,level,XMEAS-15,1,5
8,10-15h,level,XMEAS-16,1,5
8,10-15h,level,XMEAS-24,1,5
8,10-15h,level,XMEAS-28,1,5
8,10-15h,level,XMEAS-30,1,5
8,10-15h,level,XMEAS-34,1,5
8,10-15h,level,XMEAS-7,1,5
8,10-15h,trend,XMEAS-10,5,5
8,10-15h,trend,XMEAS-20,5,5
8,10-15h,trend,XMEAS-25,5,5
8,10-15h,trend,XMEAS-29,5,5
8,10-15h,trend,XMEAS-31,5,5
8,10-15h,trend,XMEAS-1,4,5
8,10-15h,trend,XMEAS-11,4,5
8,10-15h,trend,XMEAS-18,4,5
8,10-15h,trend,XMEAS-21,4,5
8,10-15h,trend,XMEAS-22,4,5
8,10-15h,trend,XMEAS-23,4,5
8,10-15h,trend,XMEAS-38,4,5
8,10-15h,trend,XMEAS-30,3,5
8,10-15h,trend,XMEAS-34,3,5
8,10-15h,trend,XMEAS-5,3,5
8,10-15h,trend,XMEAS-6,3,5
8,10-15h,trend,XMEAS-12,2,5
8,10-15h,trend,XMEAS-13,2,5
8,10-15h,trend,XMEAS-16,2,5
8,10-15h,trend,XMEAS-24,2,5
8,10-15h,trend,XMEAS-28,2,5
8,10-15h,trend,XMEAS-35,2,5
8,10-15h,trend,XMEAS-4,2,5
8,10-15h,trend,XMEAS-7,2,5
8,10-15h,trend,XMEAS-14,1,5
8,10-15h,trend,XMEAS-15,1,5
8,10-15h,trend,XMEAS-27,1,5
8,10-15h,trend,XMEAS-36,1,5
8,10-15h,diff,XMEAS-10,2,5
8,10-15h,diff,XMEAS-31,2,5
8,10-15h,diff,XMEAS-1,1,5
8,10-15h,diff,XMEAS-29,1,5
8,10-15h,diff,XMEAS-38,1,5
8,10-15h,residual,XMEAS-1,5,5
8,10-15h,residual,XMEAS-10,5,5
8,10-15h,residual,XMEAS-11,5,5
8,10-15h,residual,XMEAS-13,5,5
8,10-15h,residual,XMEAS-16,5,5
8,10-15h,residual,XMEAS-18,5,5
8,10-15h,residual,XMEAS-20,5,5
8,10-15h,residual,XMEAS-21,5,5
8,10-15h,residual,XMEAS-22,5,5
8,10-15h,residual,XMEAS-23,5,5
8,10-15h,residual,XMEAS-25,5,5
8,10-15h,residual,XMEAS-29,5,5
8,10-15h,residual,XMEAS-31,5,5
8,10-15h,residual,XMEAS-5,5,5
8,10-15h,residual,XMEAS-6,5,5
8,10-15h,residual,XMEAS-7,5,5
8,10-15h,residual,XMEAS-28,4,5
8,10-15h,residual,XMEAS-34,4,5
8,10-15h,residual,XMEAS-15,3,5
8,10-15h,residual,XMEAS-24,3,5
8,10-15h,residual,XMEAS-30,3,5
8,10-15h,residual,XMEAS-35,3,5
8,10-15h,residual,XMEAS-12,2,5
8,10-15h,residual,XMEAS-38,2,5
8,10-15h,residual,XMEAS-4,2,5
8,10-15h,residual,XMEAS-8,2,5
8,10-15h,residual,XMEAS-14,1,5
8,10-15h,residual,XMEAS-26,1,5
8,10-15h,residual,XMEAS-33,1,5
8,10-15h,residual,XMEAS-36,1,5
10,10-15h,level,XMEAS-18,3,5
10,10-15h,trend,XMEAS-18,5,5
10,10-15h,diff,XMEAS-18,4,5
10,10-15h,residual,XMEAS-18,5,5
10,10-15h,residual,XMEAS-38,2,5
10,10-15h,residual,XMEAS-10,1,5
10,10-15h,residual,XMEAS-40,1,5
13,10-15h,level,XMEAS-30,5,5
13,10-15h,level,XMEAS-34,5,5
13,10-15h,level,XMEAS-10,4,5
13,10-15h,level,XMEAS-13,4,5
13,10-15h,level,XMEAS-16,4,5
13,10-15h,level,XMEAS-24,4,5
13,10-15h,level,XMEAS-28,4,5
13,10-15h,level,XMEAS-7,4,5
13,10-15h,level,XMEAS-1,3,5
13,10-15h,level,XMEAS-15,3,5
13,10-15h,level,XMEAS-20,3,5
13,10-15h,level,XMEAS-21,3,5
13,10-15h,level,XMEAS-11,2,5
13,10-15h,level,XMEAS-18,1,5
13,10-15h,level,XMEAS-22,1,5
13,10-15h,level,XMEAS-27,1,5
13,10-15h,level,XMEAS-31,1,5
13,10-15h,level,XMEAS-33,1,5
13,10-15h,level,XMEAS-38,1,5
13,10-15h,trend,XMEAS-10,5,5
13,10-15h,trend,XMEAS-13,5,5
13,10-15h,trend,XMEAS-16,5,5
13,10-15h,trend,XMEAS-24,5,5
13,10-15h,trend,XMEAS-28,5,5
13,10-15h,trend,XMEAS-30,5,5
13,10-15h,trend,XMEAS-34,5,5
13,10-15h,trend,XMEAS-7,5,5
13,10-15h,trend,XMEAS-1,4,5
13,10-15h,trend,XMEAS-11,4,5
13,10-15h,trend,XMEAS-15,4,5
13,10-15h,trend,XMEAS-18,4,5
13,10-15h,trend,XMEAS-20,4,5
13,10-15h,trend,XMEAS-33,4,5
13,10-15h,trend,XMEAS-21,3,5
13,10-15h,trend,XMEAS-22,3,5
13,10-15h,trend,XMEAS-31,3,5
13,10-15h,trend,XMEAS-27,2,5
13,10-15h,trend,XMEAS-35,2,5
13,10-15h,trend,XMEAS-38,2,5
13,10-15h,trend,XMEAS-25,1,5
13,10-15h,trend,XMEAS-3,1,5
13,10-15h,diff,XMEAS-10,5,5
13,10-15h,diff,XMEAS-13,1,5
13,10-15h,diff,XMEAS-16,1,5
13,10-15h,diff,XMEAS-7,1,5
13,10-15h,residual,XMEAS-10,5,5
13,10-15h,residual,XMEAS-11,5,5
13,10-15h,residual,XMEAS-13,5,5
13,10-15h,residual,XMEAS-15,5,5
13,10-15h,residual,XMEAS-16,5,5
13,10-15h,residual,XMEAS-18,5,5
13,10-15h,residual,XMEAS-21,5,5
13,10-15h,residual,XMEAS-22,5,5
13,10-15h,residual,XMEAS-24,5,5
13,10-15h,residual,XMEAS-28,5,5
13,10-15h,residual,XMEAS-30,5,5
13,10-15h,residual,XMEAS-34,5,5
13,10-15h,residual,XMEAS-7,5,5
13,10-15h,residual,XMEAS-12,4,5
13,10-15h,residual,XMEAS-20,4,5
13,10-15h,residual,XMEAS-1,3,5
13,10-15h,residual,XMEAS-33,3,5
13,10-15h,residual,XMEAS-14,2,5
13,10-15h,residual,XMEAS-27,2,5
13,10-15h,residual,XMEAS-31,2,5
13,10-15h,residual,XMEAS-9,2,5
13,10-15h,residual,XMEAS-25,1,5
13,10-15h,residual,XMEAS-29,1,5
13,10-15h,residual,XMEAS-35,1,5
13,10-15h,residual,XMEAS-38,1,5
