run_id,set_name,stream_id,seed_namespace,seed_digest,J,window_position,burn_in_h,stop_time_h,window_h,use
cal_thr-025,cal_thr,40024,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d50b3b3716dbeff2d10dc5e66c55097bda6a254fe0a4d6d19dfb11217d35d5c5,1,1,20,25,5,threshold
cal_thr-026,cal_thr,40025,fot-tep/fase03/soglie_normal/cal_thr/j/v1,0c36fb18ddce21f4a6b985cf844517bbaf6cfae0bb2b4a6e67085a2912ec1d7e,1,1,20,25,5,threshold
cal_thr-027,cal_thr,40026,fot-tep/fase03/soglie_normal/cal_thr/j/v1,3909b053c8afa179cbebfbd49c8c8da7b4b0708ad3a5e35411ebbdca172259d7,8,8,20,60,5,threshold
cal_thr-028,cal_thr,40027,fot-tep/fase03/soglie_normal/cal_thr/j/v1,b8226b88357a2228e57afc1445a802712d39f63766bc9c0546786e8b74a979e6,1,1,20,25,5,threshold
cal_thr-029,cal_thr,40028,fot-tep/fase03/soglie_normal/cal_thr/j/v1,11fe150820220e619fc14534bd25a33f114ce0de3f1644aae1b99f4df1e00338,8,8,20,60,5,threshold
cal_thr-030,cal_thr,40029,fot-tep/fase03/soglie_normal/cal_thr/j/v1,26a7590db2ed0be7032f35a2627e22c9c0034f74c8790e09bfec2237aaf4e579,10,10,20,70,5,threshold
cal_thr-031,cal_thr,40030,fot-tep/fase03/soglie_normal/cal_thr/j/v1,121db3a51080be93c74022d8a8e5aa36b0515755b6aaff99ee6038b6bd851159,8,8,20,60,5,threshold
cal_thr-032,cal_thr,40031,fot-tep/fase03/soglie_normal/cal_thr/j/v1,e33dabbf62b5ea08f1ea021489edabfc27ca1f02eeddfc4cf00db23e472b9b15,7,7,20,55,5,threshold
cal_thr-033,cal_thr,40032,fot-tep/fase03/soglie_normal/cal_thr/j/v1,81d0efbd0822a107724dea6f1c15e693897940a6a60ff7b0c7cd43da9fba231a,6,6,20,50,5,threshold
cal_thr-034,cal_thr,40033,fot-tep/fase03/soglie_normal/cal_thr/j/v1,8f496d61523c87877ec0614e582452861d0798e41d2e005a3646337ffe53d555,10,10,20,70,5,threshold
cal_thr-035,cal_thr,40034,fot-tep/fase03/soglie_normal/cal_thr/j/v1,de1554cce597e5cd0fb05f839db0b14859d8aaef933fffac54e415396e6ffe40,6,6,20,50,5,threshold
cal_thr-036,cal_thr,40035,fot-tep/fase03/soglie_normal/cal_thr/j/v1,99cc3e259bbc97b3a1fdadcb160c94ba08f2a29d5d3feb8409ea076f76efae5d,10,10,20,70,5,threshold
cal_thr-037,cal_thr,40036,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d09941fabc99551b33c1132a0a2a02925b6dec6fdec7110eb489b443a59bede2,10,10,20,70,5,threshold
cal_thr-038,cal_thr,40037,fot-tep/fase03/soglie_normal/cal_thr/j/v1,a9f1f0e8053940d8a2184274afc1be12c0d898ed0f1acf56c5eaa260da7ca112,5,5,20,45,5,threshold
cal_thr-039,cal_thr,40038,fot-tep/fase03/soglie_normal/cal_thr/j/v1,170696ba6a48588c8bc791480c4c599cb86d24225e3634571155651788710e09,7,7,20,55,5,threshold
cal_thr-040,cal_thr,40039,fot-tep/fase03/soglie_normal/cal_thr/j/v1,f7dc1fcc8964992310f40b5e90474388b03fcaeecf86b11164ef8d3b02c117f1,8,8,20,60,5,threshold
cal_thr-041,cal_thr,40040,fot-tep/fase03/soglie_normal/cal_thr/j/v1,28843c37f1afe3478f0cfd94343d16467679ddf650f45cc7f6ce04ad7490351c,2,2,20,30,5,threshold
cal_thr-042,cal_thr,40041,fot-tep/fase03/soglie_normal/cal_thr/j/v1,7940042b111857657d1e9339fdbbe74dedb6f9d563b879158755499ec2950fa5,2,2,20,30,5,threshold
cal_thr-043,cal_thr,40042,fot-tep/fase03/soglie_normal/cal_thr/j/v1,ec7f596c8b3419dd499d883ecd03bcc39cf659d5eaa85e37441d301ecb9e7ed4,8,8,20,60,5,threshold
cal_thr-044,cal_thr,40043,fot-tep/fase03/soglie_normal/cal_thr/j/v1,dd2f10fd9dbe41f6e136d9d340678fc6d8b06e03edebf3666b619c747380c83b,1,1,20,25,5,threshold
cal_thr-045,cal_thr,40044,fot-tep/fase03/soglie_normal/cal_thr/j/v1,e5e8bc693fde971ad55323ecd72b9cb04ddfb1d0331dfeb78798eaad293093dc,7,7,20,55,5,threshold
cal_thr-046,cal_thr,40045,fot-tep/fase03/soglie_normal/cal_thr/j/v1,4cec12bfb1973ae02ebc584670a2e64ced226ec78d209b023538b15c69b4a1e8,7,7,20,55,5,threshold
cal_thr-047,cal_thr,40046,fot-tep/fase03/soglie_normal/cal_thr/j/v1,376cbc3d8b50706cf9ff2bd31a5ff30f89c4e4f5a96ab8a259e714d52d7b18b1,7,7,20,55,5,threshold
cal_thr-048,cal_thr,40047,fot-tep/fase03/soglie_normal/cal_thr/j/v1,65c0a5bad9381673d9bed0ab1ecd72baf85dff39bba5b16bc07404df0825478d,10,10,20,70,5,threshold
cal_thr-049,cal_thr,40048,fot-tep/fase03/soglie_normal/cal_thr/j/v1,29d0e3ecf148f519f1f3a9e201b2f53d86644ef65bd4e6ad798c74e2087e1bd4,6,6,20,50,5,threshold
cal_thr-050,cal_thr,40049,fot-tep/fase03/soglie_normal/cal_thr/j/v1,95c7f4a5b914fca085708edc26327bbe40cd560b279108174d4a320c280cdb8e,5,5,20,45,5,threshold
cal_thr-051,cal_thr,40050,fot-tep/fase03/soglie_normal/cal_thr/j/v1,f1488771e646e69ec67d84b79af5ead3298de656a775e72e9b2253290b7ec644,5,5,20,45,5,threshold
cal_thr-052,cal_thr,40051,fot-tep/fase03/soglie_normal/cal_thr/j/v1,63b66b88f0c9201738ba24845c517babcb689c96737f17f0185bf81677c713fe,6,6,20,50,5,threshold
cal_thr-053,cal_thr,40052,fot-tep/fase03/soglie_normal/cal_thr/j/v1,51688887a526c316f11b2a69222b6e3da8ff71fea4f15ccf069ec2aa812f562a,7,7,20,55,5,threshold
cal_thr-054,cal_thr,40053,fot-tep/fase03/soglie_normal/cal_thr/j/v1,97cff507ca7cda40fd9ce9dba876af3913ee849e9550a923228d508ef82ec476,9,9,20,65,5,threshold
cal_thr-055,cal_thr,40054,fot-tep/fase03/soglie_normal/cal_thr/j/v1,6b1d40794c4dbadb20033b8c4e63ab35f752c01f725296cc9d1f1b69ec26433b,10,10,20,70,5,threshold
cal_thr-056,cal_thr,40055,fot-tep/fase03/soglie_normal/cal_thr/j/v1,7d31891feb451d9d88bcb5351b6a8360d609f2992d991b76bd48aa8f0f3ed6c9,8,8,20,60,5,threshold
cal_thr-057,cal_thr,40056,fot-tep/fase03/soglie_normal/cal_thr/j/v1,f0204146adc0e08a4f88fd9f3c23a486093a2e166d886615e13f14528fe09c95,5,5,20,45,5,threshold
cal_thr-058,cal_thr,40057,fot-tep/fase03/soglie_normal/cal_thr/j/v1,07beaf4f32b6428e260a39e3f3549226ae66154219b91917509abfd0815b2481,7,7,20,55,5,threshold
cal_thr-059,cal_thr,40058,fot-tep/fase03/soglie_normal/cal_thr/j/v1,5929936fba6a91ca7c1cd0d5e9ffd97c73f7fe0dfd1f5c25695648de26d47fa4,3,3,20,35,5,threshold
cal_thr-060,cal_thr,40059,fot-tep/fase03/soglie_normal/cal_thr/j/v1,9ec646141729466470f2829f21f4d5151a34fd6ed0e708a1464bcef27aa14bcd,1,1,20,25,5,threshold
cal_thr-061,cal_thr,40060,fot-tep/fase03/soglie_normal/cal_thr/j/v1,a7de79e21e8975b6e12f878f0eaf7a6d2b22e5c19a496deffabaca4a1459af95,3,3,20,35,5,threshold
cal_thr-062,cal_thr,40061,fot-tep/fase03/soglie_normal/cal_thr/j/v1,126fe970c510c14586d0e11f753293dd8cc24021d1f982d0441010b25f15a320,10,10,20,70,5,threshold
cal_thr-063,cal_thr,40062,fot-tep/fase03/soglie_normal/cal_thr/j/v1,252b808a3e3b00d9bb77a87647bcc2b8a48bf237483ac9dc25adb881a3d3d876,10,10,20,70,5,threshold
cal_thr-064,cal_thr,40063,fot-tep/fase03/soglie_normal/cal_thr/j/v1,9551697d6aff7c7717024367bc16a4bc119da24144fe2f965eae357053d52efd,10,10,20,70,5,threshold
cal_thr-065,cal_thr,40064,fot-tep/fase03/soglie_normal/cal_thr/j/v1,aa0c75fa59e857c23a507dd08a34adf174dba6a398c70123e171126cba75be7f,7,7,20,55,5,threshold
cal_thr-066,cal_thr,40065,fot-tep/fase03/soglie_normal/cal_thr/j/v1,32bc1f04613e961c18208b1f579ce9e39a9876072c343ec04c4000ce24bf8971,1,1,20,25,5,threshold
cal_thr-067,cal_thr,40066,fot-tep/fase03/soglie_normal/cal_thr/j/v1,03f7304d8e0bc57dccdb77bdd097eaffdedc47af2db5f7311924e04bf28f5970,6,6,20,50,5,threshold
cal_thr-068,cal_thr,40067,fot-tep/fase03/soglie_normal/cal_thr/j/v1,17becfb0afc2de105512f32445b47fd5ae54d8ea6596c6bd526b226daafcb464,9,9,20,65,5,threshold
cal_thr-069,cal_thr,40068,fot-tep/fase03/soglie_normal/cal_thr/j/v1,cb79bf7d849c7b7fe5d468c1d99d018ef50a7bbd9d59cb08ae5ef87a1d02b8e0,4,4,20,40,5,threshold
cal_thr-070,cal_thr,40069,fot-tep/fase03/soglie_normal/cal_thr/j/v1,f860a778877aa3bf5e0091bd6f790cfc9622721e75ea20107b74b3097ea5ace2,8,8,20,60,5,threshold
cal_thr-071,cal_thr,40070,fot-tep/fase03/soglie_normal/cal_thr/j/v1,fe61b2b13eecfe52998ea2e817aaa28617d51b71ceb9750bf9595f0a732c8c19,1,1,20,25,5,threshold
cal_thr-072,cal_thr,40071,fot-tep/fase03/soglie_normal/cal_thr/j/v1,471961a0baa25d45cded5d101ce6155c8313e1c3974b3e56ac100306b24fff28,4,4,20,40,5,threshold
cal_thr-073,cal_thr,40072,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d6acf26330bada73d549fdb0017a12b3ef04364a4dff5241d8ec45ef3512819b,10,10,20,70,5,threshold
cal_thr-074,cal_thr,40073,fot-tep/fase03/soglie_normal/cal_thr/j/v1,b9c89b64007926ee699a4f0f7028799f8f8a0acbf88efa1826680ea868a863a5,3,3,20,35,5,threshold
cal_thr-075,cal_thr,40074,fot-tep/fase03/soglie_normal/cal_thr/j/v1,4b1c9310ea1448cb75a8186f3daa0ee3282a45cfdcd7f8cbe2c5ff3e748967dd,6,6,20,50,5,threshold
cal_thr-076,cal_thr,40075,fot-tep/fase03/soglie_normal/cal_thr/j/v1,95f60cae6c7f3ef47ad2bf21479909c7b4a8592c61d43f007dd4e475727be0a5,3,3,20,35,5,threshold
cal_thr-077,cal_thr,40076,fot-tep/fase03/soglie_normal/cal_thr/j/v1,f3da21cae419b2f668c79c9929bd2c32ebc3672b549f8629ecc264b1177d856c,9,9,20,65,5,threshold
cal_thr-078,cal_thr,40077,fot-tep/fase03/soglie_normal/cal_thr/j/v1,ad1a8c2e52cf4de24a4d6cd6c6da21d82196f8e8465d28f402729d254db2139a,3,3,20,35,5,threshold
cal_thr-079,cal_thr,40078,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d207e3e586794b4635fe66f352a2c4541401dd7e53cfd0ddbc28af2eafde1d3d,9,9,20,65,5,threshold
cal_thr-080,cal_thr,40079,fot-tep/fase03/soglie_normal/cal_thr/j/v1,e851034ae461f3d84ffb5b6e732996f3d30d9bf49bc1e2499b9441fdd9cee8de,5,5,20,45,5,threshold
cal_thr-081,cal_thr,40080,fot-tep/fase03/soglie_normal/cal_thr/j/v1,1131d1f85ae9e1a8e8a928326053e94a6ad84c38c01b0abf6cd1869f98125bf8,5,5,20,45,5,threshold
cal_thr-082,cal_thr,40081,fot-tep/fase03/soglie_normal/cal_thr/j/v1,481a5f4a30fc1373790f79ebf2e3c0e5018955215c0dd131f1e9c3938712ecce,2,2,20,30,5,threshold
cal_thr-083,cal_thr,40082,fot-tep/fase03/soglie_normal/cal_thr/j/v1,30cadd0d1b1b9907bf393bcb108306cc62ba99e1944a7885d5f97e9d573c0ff5,4,4,20,40,5,threshold
cal_thr-084,cal_thr,40083,fot-tep/fase03/soglie_normal/cal_thr/j/v1,614e34b2a7139982dccac7b16c6544815b309ef8c4a7be6acf7c091071439b0f,5,5,20,45,5,threshold
cal_thr-085,cal_thr,40084,fot-tep/fase03/soglie_normal/cal_thr/j/v1,c77debfceb2f664cb41171e3ebc816a8e9f26bbc6b47ed530a74067b37436314,7,7,20,55,5,threshold
cal_thr-086,cal_thr,40085,fot-tep/fase03/soglie_normal/cal_thr/j/v1,9c17ecd17376db18e37c364616ea6cb4a5abb8afe52c4b16d5e2493b017548bb,1,1,20,25,5,threshold
cal_thr-087,cal_thr,40086,fot-tep/fase03/soglie_normal/cal_thr/j/v1,f32dbde19505d0458b798e4f07d668c74529d78bf9d2a444908e0f596da3126c,4,4,20,40,5,threshold
cal_thr-088,cal_thr,40087,fot-tep/fase03/soglie_normal/cal_thr/j/v1,49aa47f7dc841f5a879853af259fdf08765319934300cff2b5bf29a3f29bfffb,5,5,20,45,5,threshold
cal_thr-089,cal_thr,40088,fot-tep/fase03/soglie_normal/cal_thr/j/v1,77596f01d56cca9f5c42e3bd1ee8c5f5573e811fc33c4f56e321856ae2231983,8,8,20,60,5,threshold
cal_thr-090,cal_thr,40089,fot-tep/fase03/soglie_normal/cal_thr/j/v1,90603e8615ee55d2d1d1faacc8a47d3efed8012c7da3e2af1714843d752986a2,1,1,20,25,5,threshold
cal_thr-091,cal_thr,40090,fot-tep/fase03/soglie_normal/cal_thr/j/v1,74dc5183878de4617dc322eafa0b226cb449c9ac24a0216c5b162f3ca767553b,10,10,20,70,5,threshold
cal_thr-092,cal_thr,40091,fot-tep/fase03/soglie_normal/cal_thr/j/v1,b2134ccaccf1d25a7115f989eb53a29a944398e59df6e53215bcff2c696141bf,1,1,20,25,5,threshold
cal_thr-093,cal_thr,40092,fot-tep/fase03/soglie_normal/cal_thr/j/v1,514e262d39fa40c88208bf40867acc315f1b4aa12dd694d2d4114211b15585e0,9,9,20,65,5,threshold
cal_thr-094,cal_thr,40093,fot-tep/fase03/soglie_normal/cal_thr/j/v1,20bfc012141c7dfe6493d71de8cc7cb69a8c6a4f5ae1658a08b92df2c20cedd6,1,1,20,25,5,threshold
cal_thr-095,cal_thr,40094,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d69ba6429b2b1fdf19658488813317c81edae2e4015d750ff2ca6dcd2eed53da,4,4,20,40,5,threshold
cal_thr-096,cal_thr,40095,fot-tep/fase03/soglie_normal/cal_thr/j/v1,2083ae42ed9c92a525e454f0e8512ada072fe8b16e7021be137e610df6a4a91d,8,8,20,60,5,threshold
cal_thr-097,cal_thr,40096,fot-tep/fase03/soglie_normal/cal_thr/j/v1,ef49aa7e9046d1d0dc5ed61cdce76af33f49c96d5afade50e937f1a61dd4948e,5,5,20,45,5,threshold
cal_thr-098,cal_thr,40097,fot-tep/fase03/soglie_normal/cal_thr/j/v1,c256401fb02ab661cf997c4995e09c5bb3b1004b69a3c4d8bce173f13bdeae6a,8,8,20,60,5,threshold
cal_thr-099,cal_thr,40098,fot-tep/fase03/soglie_normal/cal_thr/j/v1,fbc5fd9d79a153c72781405610a2d7668befc474c2eff4326652a79edbc95302,8,8,20,60,5,threshold
cal_thr-100,cal_thr,40099,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d91a4dcec8da1a4fdf04b99e91a05b2ab89f0d8084440e77b48096885e9d89c5,10,10,20,70,5,threshold
cal_thr-101,cal_thr,40100,fot-tep/fase03/soglie_normal/cal_thr/j/v1,74cfdc50bd34bbb1384891ed4b20c03b24837f9a300c81aa48a4c9805682af12,4,4,20,40,5,threshold
cal_thr-102,cal_thr,40101,fot-tep/fase03/soglie_normal/cal_thr/j/v1,48c20f3e08c209d541c2004cf3c626cc306932dac4783a7ca3df1a62421bc83d,8,8,20,60,5,threshold
cal_thr-103,cal_thr,40102,fot-tep/fase03/soglie_normal/cal_thr/j/v1,7e0e04b09e9452cb05fae4cf4a79822295ddc610cc96450bef4a6b25dc25c1a9,2,2,20,30,5,threshold
cal_thr-104,cal_thr,40103,fot-tep/fase03/soglie_normal/cal_thr/j/v1,2bb05eca8d72462fe0d60e6386a1b3496be3d9a913fccec4cf4b21bf1f0c7e1d,8,8,20,60,5,threshold
cal_thr-105,cal_thr,40104,fot-tep/fase03/soglie_normal/cal_thr/j/v1,3ab035034de891978c8c3a7ad39d407acf4e12813a41a0db8b98a251911d28cc,6,6,20,50,5,threshold
cal_thr-106,cal_thr,40105,fot-tep/fase03/soglie_normal/cal_thr/j/v1,32cd45632c0eb41179538567b011ffac538902e76af2abcc5a8acabf23d35fb0,4,4,20,40,5,threshold
cal_thr-107,cal_thr,40106,fot-tep/fase03/soglie_normal/cal_thr/j/v1,30ee4d188fa361781f9acf907c332ed269bd6764f3e243adab129dfc469782d4,1,1,20,25,5,threshold
cal_thr-108,cal_thr,40107,fot-tep/fase03/soglie_normal/cal_thr/j/v1,9ba1d9ee7aa825296d16b44ea29cbd670d88b6b7d35ae5e06f4784727997f3b0,10,10,20,70,5,threshold
cal_thr-109,cal_thr,40108,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d552b24e8faf9fb9b30ad4216c644fb4bafc0285505a9666936d6570c25a7f9f,4,4,20,40,5,threshold
cal_thr-110,cal_thr,40109,fot-tep/fase03/soglie_normal/cal_thr/j/v1,9dd1deed55c56659aa5377962a54484c54f3e7f6ccca31a657de3bafe3d31b72,4,4,20,40,5,threshold
cal_thr-111,cal_thr,40110,fot-tep/fase03/soglie_normal/cal_thr/j/v1,4f383f678b703ca5e120b43ed1eb7bb83346964bf322a21f32e379e0451963a9,8,8,20,60,5,threshold
cal_thr-112,cal_thr,40111,fot-tep/fase03/soglie_normal/cal_thr/j/v1,ff73666277293d92a1d13fca1d979917f0eb5f1d07b25d22cf5c047dabb1b718,3,3,20,35,5,threshold
cal_thr-113,cal_thr,40112,fot-tep/fase03/soglie_normal/cal_thr/j/v1,3d90ee61f5a845532e6398def2eb6c6d32d2dfbfa8418e16f9e8120673758f69,6,6,20,50,5,threshold
cal_thr-114,cal_thr,40113,fot-tep/fase03/soglie_normal/cal_thr/j/v1,8899df9a0e593073273c620c2a5c4a0a5229057c0517321ff0fd80489ee4f073,8,8,20,60,5,threshold
cal_thr-115,cal_thr,40114,fot-tep/fase03/soglie_normal/cal_thr/j/v1,675eaf0743597bb2936e587942a38b02230cb7d65bf6a79cd974f9ddaabfd0db,7,7,20,55,5,threshold
cal_thr-116,cal_thr,40115,fot-tep/fase03/soglie_normal/cal_thr/j/v1,0c432f357a25655a39abf71d96c93e9dcbe69bbd3b082f35b3bc98a7016a8c97,5,5,20,45,5,threshold
cal_thr-117,cal_thr,40116,fot-tep/fase03/soglie_normal/cal_thr/j/v1,534baa0a906d4c1b38dc9d4200427e2297934cacfaa6ece55fd3bb2df168994d,10,10,20,70,5,threshold
cal_thr-118,cal_thr,40117,fot-tep/fase03/soglie_normal/cal_thr/j/v1,515ef8591edd2ceb6441cf729a604d0f1233079894081f063c4406473395d4a8,8,8,20,60,5,threshold
cal_thr-119,cal_thr,40118,fot-tep/fase03/soglie_normal/cal_thr/j/v1,359d721a9aaa972efffaea8d75f3c407c797d97cdff040848784dae5ca024496,7,7,20,55,5,threshold
cal_thr-120,cal_thr,40119,fot-tep/fase03/soglie_normal/cal_thr/j/v1,4f85e6472670a9052eb478f6547745fb188417328565445912cb734f015e7d6f,8,8,20,60,5,threshold
cal_thr-121,cal_thr,40120,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d95fe5e6144263122827695916d47cc3ca0a5c4b72acb28af36194a9b20edea4,5,5,20,45,5,threshold
cal_thr-122,cal_thr,40121,fot-tep/fase03/soglie_normal/cal_thr/j/v1,b83039cdfa1409d544d508cd8e38f44c58d21a70132ad22579189567eaeb9c10,2,2,20,30,5,threshold
cal_thr-123,cal_thr,40122,fot-tep/fase03/soglie_normal/cal_thr/j/v1,afa3afdaff959ba173452eac48b7fe6d3fdd1e2b4336db5117178864989bb95b,2,2,20,30,5,threshold
cal_thr-124,cal_thr,40123,fot-tep/fase03/soglie_normal/cal_thr/j/v1,a386fe01caee4dafdc43f4d4132b65eecf93b498cf7df9ead81acec0d8058e9a,10,10,20,70,5,threshold
cal_thr-125,cal_thr,40124,fot-tep/fase03/soglie_normal/cal_thr/j/v1,d507aa4861014c32fa4032f8237ebe0a41cf4c10dae08dc5402e78db4c3c9694,7,7,20,55,5,threshold
cal_thr-126,cal_thr,40125,fot-tep/fase03/soglie_normal/cal_thr/j/v1,04242bbecbcdc63e17c62c8112dfe07a484ea852264b976bf590052ff1995340,7,7,20,55,5,threshold
cal_thr-127,cal_thr,40126,fot-tep/fase03/soglie_normal/cal_thr/j/v1,0090731f1f69fde73131df32f3d2edce7c5e9b8199de32526a44c1da8669ba54,6,6,20,50,5,threshold
cal_thr-128,cal_thr,40127,fot-tep/fase03/soglie_normal/cal_thr/j/v1,f70a0c9557e6967eb0a01e386f593f863afaa972ae54d75faa77d871c62eeb75,7,7,20,55,5,threshold
cal_thr-129,cal_thr,40128,fot-tep/fase03/soglie_normal/cal_thr/j/v1,b487b5ae8efcf151d8e5e2e6f181815563f80ead29d27dc66fe9531f09b41656,2,2,20,30,5,threshold
cal_thr-130,cal_thr,40129,fot-tep/fase03/soglie_normal/cal_thr/j/v1,dcce4747f128c6707971e461c2d72dd92cd0894fd1c780df11b921f939c7cdb0,5,5,20,45,5,threshold
cal_thr-131,cal_thr,40130,fot-tep/fase03/soglie_normal/cal_thr/j/v1,7797a43cbc36ebcbb0126f0a17b6037c924282e4da712cd53fc1dd758259aad1,10,10,20,70,5,threshold
cal_thr-132,cal_thr,40131,fot-tep/fase03/soglie_normal/cal_thr/j/v1,75f1daa603b0d7fc7c30f1f7911a64cd895c1471137a5b325a7c3f1b872936b2,9,9,20,65,5,threshold
cal_thr-133,cal_thr,40132,fot-tep/fase03/soglie_normal/cal_thr/j/v1,629001d47e0cc4a5adf39ab46a152ac27d713123d2fc0c59236227a21adb4aec,10,10,20,70,5,threshold
cal_thr-134,cal_thr,40133,fot-tep/fase03/soglie_normal/cal_thr/j/v1,c08a4a857f8e82c9935a23ff65ed6e7f62ddab91f539e606b6f0da979cc5d37b,8,8,20,60,5,threshold
cal_thr-135,cal_thr,40134,fot-tep/fase03/soglie_normal/cal_thr/j/v1,803cd16a93dbfccde20c76cfa996d72a3ba766a4cd8b664abe1238bbe4c81a06,2,2,20,30,5,threshold
cal_thr-136,cal_thr,40135,fot-tep/fase03/soglie_normal/cal_thr/j/v1,95f7cbecf378c654e210d192062b6342735c914a7820b24254236c038732046c,1,1,20,25,5,threshold
