mode,cluster_id,receiver,true_label,n_attempts,correct,accuracy,abstentions,abstention_rate,non_abstained,accuracy_non_abstained
local,fixture-fault-F8-b05,F3,F8,2,0,0.0,0,0.0,2,0.0
local,fixture-normal-F1-b05,F3,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F10-b05,F3,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F13-b05,F3,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F14-b05,F3,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F15-b05,F3,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F2-b05,F3,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F3-b05,F3,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F8-b05,F3,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F1-b05,F8,F1,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F10-b05,F8,F10,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F13-b05,F8,F13,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F14-b05,F8,F14,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F15-b05,F8,F15,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F2-b05,F8,F2,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F3-b05,F8,F3,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F8-b05,F8,F8,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F1-b05,F8,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F10-b05,F8,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F13-b05,F8,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F14-b05,F8,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F15-b05,F8,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F2-b05,F8,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F3-b05,F8,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F8-b05,F8,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F1-b05,F10,F1,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F10-b05,F10,F10,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F13-b05,F10,F13,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F14-b05,F10,F14,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F15-b05,F10,F15,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F2-b05,F10,F2,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F3-b05,F10,F3,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F8-b05,F10,F8,2,0,0.0,0,0.0,2,0.0
local,fixture-normal-F1-b05,F10,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F10-b05,F10,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F13-b05,F10,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F14-b05,F10,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F15-b05,F10,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F2-b05,F10,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F3-b05,F10,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F8-b05,F10,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F1-b05,F13,F1,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F10-b05,F13,F10,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F13-b05,F13,F13,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F14-b05,F13,F14,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F15-b05,F13,F15,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F2-b05,F13,F2,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F3-b05,F13,F3,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F8-b05,F13,F8,2,0,0.0,0,0.0,2,0.0
local,fixture-normal-F1-b05,F13,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F10-b05,F13,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F13-b05,F13,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F14-b05,F13,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F15-b05,F13,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F2-b05,F13,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F3-b05,F13,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F8-b05,F13,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F1-b05,F14,F1,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F10-b05,F14,F10,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F13-b05,F14,F13,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F14-b05,F14,F14,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F15-b05,F14,F15,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F2-b05,F14,F2,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F3-b05,F14,F3,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F8-b05,F14,F8,2,0,0.0,0,0.0,2,0.0
local,fixture-normal-F1-b05,F14,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F10-b05,F14,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F13-b05,F14,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F14-b05,F14,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F15-b05,F14,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F2-b05,F14,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F3-b05,F14,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F8-b05,F14,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F1-b05,F15,F1,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F10-b05,F15,F10,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F13-b05,F15,F13,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F14-b05,F15,F14,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F15-b05,F15,F15,2,2,1.0,0,0.0,2,1.0
local,fixture-fault-F2-b05,F15,F2,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F3-b05,F15,F3,2,0,0.0,0,0.0,2,0.0
local,fixture-fault-F8-b05,F15,F8,2,0,0.0,0,0.0,2,0.0
local,fixture-normal-F1-b05,F15,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F10-b05,F15,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F13-b05,F15,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F14-b05,F15,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F15-b05,F15,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F2-b05,F15,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F3-b05,F15,Normal,2,2,1.0,0,0.0,2,1.0
local,fixture-normal-F8-b05,F15,Normal,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-fault-F1-b05,shared,F1,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-fault-F10-b05,shared,F10,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-fault-F13-b05,shared,F13,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-fault-F14-b05,shared,F14,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-fault-F15-b05,shared,F15,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-fault-F2-b05,shared,F2,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-fault-F3-b05,shared,F3,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-fault-F8-b05,shared,F8,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-normal-F1-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-normal-F10-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-normal-F13-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-normal-F14-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-normal-F15-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-normal-F2-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-normal-F3-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
fedavg,fixture-normal-F8-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
centralized,fixture-fault-F1-b05,shared,F1,2,2,1.0,0,0.0,2,1.0
centralized,fixture-fault-F10-b05,shared,F10,2,2,1.0,0,0.0,2,1.0
centralized,fixture-fault-F13-b05,shared,F13,2,2,1.0,0,0.0,2,1.0
centralized,fixture-fault-F14-b05,shared,F14,2,2,1.0,0,0.0,2,1.0
centralized,fixture-fault-F15-b05,shared,F15,2,2,1.0,0,0.0,2,1.0
centralized,fixture-fault-F2-b05,shared,F2,2,2,1.0,0,0.0,2,1.0
centralized,fixture-fault-F3-b05,shared,F3,2,2,1.0,0,0.0,2,1.0
centralized,fixture-fault-F8-b05,shared,F8,2,2,1.0,0,0.0,2,1.0
centralized,fixture-normal-F1-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
centralized,fixture-normal-F10-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
centralized,fixture-normal-F13-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
centralized,fixture-normal-F14-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
centralized,fixture-normal-F15-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
centralized,fixture-normal-F2-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
centralized,fixture-normal-F3-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
centralized,fixture-normal-F8-b05,shared,Normal,2,2,1.0,0,0.0,2,1.0
